Date,DATE / TIME (PST),FLOW CFS
3/26/2022,3/26/2022 0:00,336
3/26/2022,3/26/2022 0:15,336
3/26/2022,3/26/2022 0:30,348
3/26/2022,3/26/2022 0:45,344
3/26/2022,3/26/2022 1:00,344
3/26/2022,3/26/2022 1:15,352
3/26/2022,3/26/2022 1:30,344
3/26/2022,3/26/2022 1:45,340
3/26/2022,3/26/2022 2:00,336
3/26/2022,3/26/2022 2:15,344
3/26/2022,3/26/2022 2:30,348
3/26/2022,3/26/2022 2:45,352
3/26/2022,3/26/2022 3:00,333
3/26/2022,3/26/2022 3:15,333
3/26/2022,3/26/2022 3:30,352
3/26/2022,3/26/2022 3:45,352
3/26/2022,3/26/2022 4:00,344
3/26/2022,3/26/2022 4:15,340
3/26/2022,3/26/2022 4:30,340
3/26/2022,3/26/2022 4:45,340
3/26/2022,3/26/2022 5:00,340
3/26/2022,3/26/2022 5:15,344
3/26/2022,3/26/2022 5:30,344
3/26/2022,3/26/2022 5:45,340
3/26/2022,3/26/2022 6:00,340
3/26/2022,3/26/2022 6:15,344
3/26/2022,3/26/2022 6:30,348
3/26/2022,3/26/2022 6:45,352
3/26/2022,3/26/2022 7:00,352
3/26/2022,3/26/2022 7:15,344
3/26/2022,3/26/2022 7:30,348
3/26/2022,3/26/2022 7:45,344
3/26/2022,3/26/2022 8:00,344
3/26/2022,3/26/2022 8:15,344
3/26/2022,3/26/2022 8:30,352
3/26/2022,3/26/2022 8:45,348
3/26/2022,3/26/2022 9:00,352
3/26/2022,3/26/2022 9:15,356
3/26/2022,3/26/2022 9:30,348
3/26/2022,3/26/2022 9:45,348
3/26/2022,3/26/2022 10:00,352
3/26/2022,3/26/2022 10:15,352
3/26/2022,3/26/2022 10:30,352
3/26/2022,3/26/2022 10:45,352
3/26/2022,3/26/2022 11:00,356
3/26/2022,3/26/2022 11:15,356
3/26/2022,3/26/2022 11:30,356
3/26/2022,3/26/2022 11:45,356
3/26/2022,3/26/2022 12:00,360
3/26/2022,3/26/2022 12:15,360
3/26/2022,3/26/2022 12:30,352
3/26/2022,3/26/2022 12:45,356
3/26/2022,3/26/2022 13:00,360
3/26/2022,3/26/2022 13:15,360
3/26/2022,3/26/2022 13:30,352
3/26/2022,3/26/2022 13:45,364
3/26/2022,3/26/2022 14:00,360
3/26/2022,3/26/2022 14:15,348
3/26/2022,3/26/2022 14:30,352
3/26/2022,3/26/2022 14:45,356
3/26/2022,3/26/2022 15:00,356
3/26/2022,3/26/2022 15:15,348
3/26/2022,3/26/2022 15:30,356
3/26/2022,3/26/2022 15:45,356
3/26/2022,3/26/2022 16:00,352
3/26/2022,3/26/2022 16:15,352
3/26/2022,3/26/2022 16:30,364
3/26/2022,3/26/2022 16:45,360
3/26/2022,3/26/2022 17:00,348
3/26/2022,3/26/2022 17:15,352
3/26/2022,3/26/2022 17:30,360
3/26/2022,3/26/2022 17:45,352
3/26/2022,3/26/2022 18:00,352
3/26/2022,3/26/2022 18:15,352
3/26/2022,3/26/2022 18:30,352
3/26/2022,3/26/2022 18:45,360
3/26/2022,3/26/2022 19:00,360
3/26/2022,3/26/2022 19:15,360
3/26/2022,3/26/2022 19:30,360
3/26/2022,3/26/2022 19:45,348
3/26/2022,3/26/2022 20:00,340
3/26/2022,3/26/2022 20:15,344
3/26/2022,3/26/2022 20:30,348
3/26/2022,3/26/2022 20:45,348
3/26/2022,3/26/2022 21:00,344
3/26/2022,3/26/2022 21:15,344
3/26/2022,3/26/2022 21:30,352
3/26/2022,3/26/2022 21:45,348
3/26/2022,3/26/2022 22:00,352
3/26/2022,3/26/2022 22:15,352
3/26/2022,3/26/2022 22:30,352
3/26/2022,3/26/2022 22:45,344
3/26/2022,3/26/2022 23:00,352
3/26/2022,3/26/2022 23:15,348
3/26/2022,3/26/2022 23:30,340
3/26/2022,3/26/2022 23:45,348
3/27/2022,3/27/2022 0:00,344
3/27/2022,3/27/2022 0:15,348
3/27/2022,3/27/2022 0:30,340
3/27/2022,3/27/2022 0:45,336
3/27/2022,3/27/2022 1:00,352
3/27/2022,3/27/2022 1:15,348
3/27/2022,3/27/2022 1:30,329
3/27/2022,3/27/2022 1:45,336
3/27/2022,3/27/2022 2:00,344
3/27/2022,3/27/2022 2:15,344
3/27/2022,3/27/2022 2:30,336
3/27/2022,3/27/2022 2:45,340
3/27/2022,3/27/2022 3:00,340
3/27/2022,3/27/2022 3:15,336
3/27/2022,3/27/2022 3:30,344
3/27/2022,3/27/2022 3:45,340
3/27/2022,3/27/2022 4:00,340
3/27/2022,3/27/2022 4:15,348
3/27/2022,3/27/2022 4:30,340
3/27/2022,3/27/2022 4:45,329
3/27/2022,3/27/2022 5:00,340
3/27/2022,3/27/2022 5:15,348
3/27/2022,3/27/2022 5:30,336
3/27/2022,3/27/2022 5:45,340
3/27/2022,3/27/2022 6:00,340
3/27/2022,3/27/2022 6:15,333
3/27/2022,3/27/2022 6:30,336
3/27/2022,3/27/2022 6:45,340
3/27/2022,3/27/2022 7:00,336
3/27/2022,3/27/2022 7:15,340
3/27/2022,3/27/2022 7:30,348
3/27/2022,3/27/2022 7:45,340
3/27/2022,3/27/2022 8:00,336
3/27/2022,3/27/2022 8:15,344
3/27/2022,3/27/2022 8:30,348
3/27/2022,3/27/2022 8:45,333
3/27/2022,3/27/2022 9:00,344
3/27/2022,3/27/2022 9:15,348
3/27/2022,3/27/2022 9:30,348
3/27/2022,3/27/2022 9:45,344
3/27/2022,3/27/2022 10:00,340
3/27/2022,3/27/2022 10:15,348
3/27/2022,3/27/2022 10:30,333
3/27/2022,3/27/2022 10:45,344
3/27/2022,3/27/2022 11:00,360
3/27/2022,3/27/2022 11:15,356
3/27/2022,3/27/2022 11:30,352
3/27/2022,3/27/2022 11:45,348
3/27/2022,3/27/2022 12:00,344
3/27/2022,3/27/2022 12:15,340
3/27/2022,3/27/2022 12:30,336
3/27/2022,3/27/2022 12:45,352
3/27/2022,3/27/2022 13:00,356
3/27/2022,3/27/2022 13:15,356
3/27/2022,3/27/2022 13:30,356
3/27/2022,3/27/2022 13:45,348
3/27/2022,3/27/2022 14:00,348
3/27/2022,3/27/2022 14:15,356
3/27/2022,3/27/2022 14:30,356
3/27/2022,3/27/2022 14:45,360
3/27/2022,3/27/2022 15:00,356
3/27/2022,3/27/2022 15:15,344
3/27/2022,3/27/2022 15:30,352
3/27/2022,3/27/2022 15:45,356
3/27/2022,3/27/2022 16:00,356
3/27/2022,3/27/2022 16:15,329
3/27/2022,3/27/2022 16:30,333
3/27/2022,3/27/2022 16:45,360
3/27/2022,3/27/2022 17:00,364
3/27/2022,3/27/2022 17:15,352
3/27/2022,3/27/2022 17:30,360
3/27/2022,3/27/2022 17:45,352
3/27/2022,3/27/2022 18:00,336
3/27/2022,3/27/2022 18:15,344
3/27/2022,3/27/2022 18:30,348
3/27/2022,3/27/2022 18:45,352
3/27/2022,3/27/2022 19:00,348
3/27/2022,3/27/2022 19:15,348
3/27/2022,3/27/2022 19:30,352
3/27/2022,3/27/2022 19:45,336
3/27/2022,3/27/2022 20:00,336
3/27/2022,3/27/2022 20:15,348
3/27/2022,3/27/2022 20:30,352
3/27/2022,3/27/2022 20:45,344
3/27/2022,3/27/2022 21:00,344
3/27/2022,3/27/2022 21:15,348
3/27/2022,3/27/2022 21:30,340
3/27/2022,3/27/2022 21:45,348
3/27/2022,3/27/2022 22:00,336
3/27/2022,3/27/2022 22:15,340
3/27/2022,3/27/2022 22:30,352
3/27/2022,3/27/2022 22:45,340
3/27/2022,3/27/2022 23:00,348
3/27/2022,3/27/2022 23:15,344
3/27/2022,3/27/2022 23:30,329
3/27/2022,3/27/2022 23:45,336
3/28/2022,3/28/2022 0:00,348
3/28/2022,3/28/2022 0:15,340
3/28/2022,3/28/2022 0:30,336
3/28/2022,3/28/2022 0:45,348
3/28/2022,3/28/2022 1:00,344
3/28/2022,3/28/2022 1:15,336
3/28/2022,3/28/2022 1:30,344
3/28/2022,3/28/2022 1:45,340
3/28/2022,3/28/2022 2:00,321
3/28/2022,3/28/2022 2:15,340
3/28/2022,3/28/2022 2:30,348
3/28/2022,3/28/2022 2:45,348
3/28/2022,3/28/2022 3:00,344
3/28/2022,3/28/2022 3:15,336
3/28/2022,3/28/2022 3:30,340
3/28/2022,3/28/2022 3:45,333
3/28/2022,3/28/2022 4:00,344
3/28/2022,3/28/2022 4:15,333
3/28/2022,3/28/2022 4:30,344
3/28/2022,3/28/2022 4:45,344
3/28/2022,3/28/2022 5:00,344
3/28/2022,3/28/2022 5:15,344
3/28/2022,3/28/2022 5:30,336
3/28/2022,3/28/2022 5:45,325
3/28/2022,3/28/2022 6:00,340
3/28/2022,3/28/2022 6:15,352
3/28/2022,3/28/2022 6:30,348
3/28/2022,3/28/2022 6:45,333
3/28/2022,3/28/2022 7:00,336
3/28/2022,3/28/2022 7:15,344
3/28/2022,3/28/2022 7:30,348
3/28/2022,3/28/2022 7:45,348
3/28/2022,3/28/2022 8:00,340
3/28/2022,3/28/2022 8:15,336
3/28/2022,3/28/2022 8:30,348
3/28/2022,3/28/2022 8:45,352
3/28/2022,3/28/2022 9:00,348
3/28/2022,3/28/2022 9:15,348
3/28/2022,3/28/2022 9:30,333
3/28/2022,3/28/2022 9:45,348
3/28/2022,3/28/2022 10:00,360
3/28/2022,3/28/2022 10:15,340
3/28/2022,3/28/2022 10:30,348
3/28/2022,3/28/2022 10:45,352
3/28/2022,3/28/2022 11:00,352
3/28/2022,3/28/2022 11:15,356
3/28/2022,3/28/2022 11:30,356
3/28/2022,3/28/2022 11:45,356
3/28/2022,3/28/2022 12:00,352
3/28/2022,3/28/2022 12:15,356
3/28/2022,3/28/2022 12:30,352
3/28/2022,3/28/2022 12:45,356
3/28/2022,3/28/2022 13:00,368
3/28/2022,3/28/2022 13:15,352
3/28/2022,3/28/2022 13:30,356
3/28/2022,3/28/2022 13:45,364
3/28/2022,3/28/2022 14:00,352
3/28/2022,3/28/2022 14:15,360
3/28/2022,3/28/2022 14:30,385
3/28/2022,3/28/2022 14:45,372
3/28/2022,3/28/2022 15:00,360
3/28/2022,3/28/2022 15:15,372
3/28/2022,3/28/2022 15:30,380
3/28/2022,3/28/2022 15:45,372
3/28/2022,3/28/2022 16:00,360
3/28/2022,3/28/2022 16:15,356
3/28/2022,3/28/2022 16:30,360
3/28/2022,3/28/2022 16:45,348
3/28/2022,3/28/2022 17:00,344
3/28/2022,3/28/2022 17:15,364
3/28/2022,3/28/2022 17:30,364
3/28/2022,3/28/2022 17:45,344
3/28/2022,3/28/2022 18:00,344
3/28/2022,3/28/2022 18:15,364
3/28/2022,3/28/2022 18:30,380
3/28/2022,3/28/2022 18:45,356
3/28/2022,3/28/2022 19:00,348
3/28/2022,3/28/2022 19:15,364
3/28/2022,3/28/2022 19:30,364
3/28/2022,3/28/2022 19:45,356
3/28/2022,3/28/2022 20:00,360
3/28/2022,3/28/2022 20:15,364
3/28/2022,3/28/2022 20:30,356
3/28/2022,3/28/2022 20:45,344
3/28/2022,3/28/2022 21:00,356
3/28/2022,3/28/2022 21:15,368
3/28/2022,3/28/2022 21:30,360
3/28/2022,3/28/2022 21:45,352
3/28/2022,3/28/2022 22:00,360
3/28/2022,3/28/2022 22:15,360
3/28/2022,3/28/2022 22:30,352
3/28/2022,3/28/2022 22:45,364
3/28/2022,3/28/2022 23:00,364
3/28/2022,3/28/2022 23:15,360
3/28/2022,3/28/2022 23:30,352
3/28/2022,3/28/2022 23:45,356
3/29/2022,3/29/2022 0:00,356
3/29/2022,3/29/2022 0:15,344
3/29/2022,3/29/2022 0:30,352
3/29/2022,3/29/2022 0:45,344
3/29/2022,3/29/2022 1:00,344
3/29/2022,3/29/2022 1:15,352
3/29/2022,3/29/2022 1:30,356
3/29/2022,3/29/2022 1:45,352
3/29/2022,3/29/2022 2:00,344
3/29/2022,3/29/2022 2:15,348
3/29/2022,3/29/2022 2:30,352
3/29/2022,3/29/2022 2:45,356
3/29/2022,3/29/2022 3:00,352
3/29/2022,3/29/2022 3:15,348
3/29/2022,3/29/2022 3:30,344
3/29/2022,3/29/2022 3:45,344
3/29/2022,3/29/2022 4:00,352
3/29/2022,3/29/2022 4:15,352
3/29/2022,3/29/2022 4:30,348
3/29/2022,3/29/2022 4:45,352
3/29/2022,3/29/2022 5:00,352
3/29/2022,3/29/2022 5:15,352
3/29/2022,3/29/2022 5:30,352
3/29/2022,3/29/2022 5:45,344
3/29/2022,3/29/2022 6:00,344
3/29/2022,3/29/2022 6:15,340
3/29/2022,3/29/2022 6:30,344
3/29/2022,3/29/2022 6:45,356
3/29/2022,3/29/2022 7:00,356
3/29/2022,3/29/2022 7:15,352
3/29/2022,3/29/2022 7:30,352
3/29/2022,3/29/2022 7:45,344
3/29/2022,3/29/2022 8:00,340
3/29/2022,3/29/2022 8:15,352
3/29/2022,3/29/2022 8:30,356
3/29/2022,3/29/2022 8:45,344
3/29/2022,3/29/2022 9:00,344
3/29/2022,3/29/2022 9:15,356
3/29/2022,3/29/2022 9:30,352
3/29/2022,3/29/2022 9:45,348
3/29/2022,3/29/2022 10:00,348
3/29/2022,3/29/2022 10:15,352
3/29/2022,3/29/2022 10:30,344
3/29/2022,3/29/2022 10:45,344
3/29/2022,3/29/2022 11:00,348
3/29/2022,3/29/2022 11:15,352
3/29/2022,3/29/2022 11:30,344
3/29/2022,3/29/2022 11:45,344
3/29/2022,3/29/2022 12:00,352
3/29/2022,3/29/2022 12:15,348
3/29/2022,3/29/2022 12:30,336
3/29/2022,3/29/2022 12:45,352
3/29/2022,3/29/2022 13:00,352
3/29/2022,3/29/2022 13:15,336
3/29/2022,3/29/2022 13:30,344
3/29/2022,3/29/2022 13:45,348
3/29/2022,3/29/2022 14:00,344
3/29/2022,3/29/2022 14:15,344
3/29/2022,3/29/2022 14:30,352
3/29/2022,3/29/2022 14:45,352
3/29/2022,3/29/2022 15:00,344
3/29/2022,3/29/2022 15:15,340
3/29/2022,3/29/2022 15:30,340
3/29/2022,3/29/2022 15:45,340
3/29/2022,3/29/2022 16:00,344
3/29/2022,3/29/2022 16:15,348
3/29/2022,3/29/2022 16:30,336
3/29/2022,3/29/2022 16:45,321
3/29/2022,3/29/2022 17:00,329
3/29/2022,3/29/2022 17:15,348
3/29/2022,3/29/2022 17:30,344
3/29/2022,3/29/2022 17:45,333
3/29/2022,3/29/2022 18:00,348
3/29/2022,3/29/2022 18:15,340
3/29/2022,3/29/2022 18:30,344
3/29/2022,3/29/2022 18:45,348
3/29/2022,3/29/2022 19:00,336
3/29/2022,3/29/2022 19:15,340
3/29/2022,3/29/2022 19:30,340
3/29/2022,3/29/2022 19:45,333
3/29/2022,3/29/2022 20:00,340
3/29/2022,3/29/2022 20:15,352
3/29/2022,3/29/2022 20:30,344
3/29/2022,3/29/2022 20:45,325
3/29/2022,3/29/2022 21:00,333
3/29/2022,3/29/2022 21:15,336
3/29/2022,3/29/2022 21:30,329
3/29/2022,3/29/2022 21:45,340
3/29/2022,3/29/2022 22:00,336
3/29/2022,3/29/2022 22:15,333
3/29/2022,3/29/2022 22:30,329
3/29/2022,3/29/2022 22:45,333
3/29/2022,3/29/2022 23:00,336
3/29/2022,3/29/2022 23:15,344
3/29/2022,3/29/2022 23:30,336
3/29/2022,3/29/2022 23:45,325
3/30/2022,3/30/2022 0:00,329
3/30/2022,3/30/2022 0:15,340
3/30/2022,3/30/2022 0:30,336
3/30/2022,3/30/2022 0:45,325
3/30/2022,3/30/2022 1:00,329
3/30/2022,3/30/2022 1:15,333
3/30/2022,3/30/2022 1:30,333
3/30/2022,3/30/2022 1:45,329
3/30/2022,3/30/2022 2:00,329
3/30/2022,3/30/2022 2:15,333
3/30/2022,3/30/2022 2:30,329
3/30/2022,3/30/2022 2:45,325
3/30/2022,3/30/2022 3:00,329
3/30/2022,3/30/2022 3:15,325
3/30/2022,3/30/2022 3:30,317
3/30/2022,3/30/2022 3:45,321
3/30/2022,3/30/2022 4:00,329
3/30/2022,3/30/2022 4:15,325
3/30/2022,3/30/2022 4:30,333
3/30/2022,3/30/2022 4:45,333
3/30/2022,3/30/2022 5:00,321
3/30/2022,3/30/2022 5:15,325
3/30/2022,3/30/2022 5:30,329
3/30/2022,3/30/2022 5:45,329
3/30/2022,3/30/2022 6:00,325
3/30/2022,3/30/2022 6:15,317
3/30/2022,3/30/2022 6:30,325
3/30/2022,3/30/2022 6:45,317
3/30/2022,3/30/2022 7:00,310
3/30/2022,3/30/2022 7:15,321
3/30/2022,3/30/2022 7:30,325
3/30/2022,3/30/2022 7:45,321
3/30/2022,3/30/2022 8:00,317
3/30/2022,3/30/2022 8:15,321
3/30/2022,3/30/2022 8:30,325
3/30/2022,3/30/2022 8:45,333
3/30/2022,3/30/2022 9:00,336
3/30/2022,3/30/2022 9:15,344
3/30/2022,3/30/2022 9:30,325
3/30/2022,3/30/2022 9:45,336
3/30/2022,3/30/2022 10:00,364
3/30/2022,3/30/2022 10:15,333
3/30/2022,3/30/2022 10:30,329
3/30/2022,3/30/2022 10:45,329
3/30/2022,3/30/2022 11:00,325
