Date,DATE / TIME (PST),TEMP W DEG F
3/26/2022,3/26/2022 0:00,48.9
3/26/2022,3/26/2022 1:00,48.8
3/26/2022,3/26/2022 2:00,48.6
3/26/2022,3/26/2022 3:00,48.5
3/26/2022,3/26/2022 4:00,48.4
3/26/2022,3/26/2022 5:00,48.3
3/26/2022,3/26/2022 6:00,48.2
3/26/2022,3/26/2022 7:00,48.3
3/26/2022,3/26/2022 8:00,48.6
3/26/2022,3/26/2022 9:00,49.2
3/26/2022,3/26/2022 10:00,50
3/26/2022,3/26/2022 11:00,51
3/26/2022,3/26/2022 12:00,52
3/26/2022,3/26/2022 13:00,53
3/26/2022,3/26/2022 14:00,53.7
3/26/2022,3/26/2022 15:00,53.9
3/26/2022,3/26/2022 16:00,54
3/26/2022,3/26/2022 17:00,53.5
3/26/2022,3/26/2022 18:00,52.7
3/26/2022,3/26/2022 19:00,52
3/26/2022,3/26/2022 20:00,51.3
3/26/2022,3/26/2022 21:00,50.5
3/26/2022,3/26/2022 22:00,49.9
3/26/2022,3/26/2022 23:00,49.4
3/27/2022,3/27/2022 0:00,49.2
3/27/2022,3/27/2022 1:00,49
3/27/2022,3/27/2022 2:00,48.8
3/27/2022,3/27/2022 3:00,48.7
3/27/2022,3/27/2022 4:00,48.6
3/27/2022,3/27/2022 5:00,48.5
3/27/2022,3/27/2022 6:00,48.5
3/27/2022,3/27/2022 7:00,48.6
3/27/2022,3/27/2022 8:00,48.9
3/27/2022,3/27/2022 9:00,49.2
3/27/2022,3/27/2022 10:00,50.1
3/27/2022,3/27/2022 11:00,50.9
3/27/2022,3/27/2022 12:00,51.9
3/27/2022,3/27/2022 13:00,52.5
3/27/2022,3/27/2022 14:00,52.9
3/27/2022,3/27/2022 15:00,53.1
3/27/2022,3/27/2022 16:00,53.1
3/27/2022,3/27/2022 17:00,52.6
3/27/2022,3/27/2022 18:00,51.9
3/27/2022,3/27/2022 19:00,51.3
3/27/2022,3/27/2022 20:00,50.7
3/27/2022,3/27/2022 21:00,50.2
3/27/2022,3/27/2022 22:00,49.8
3/27/2022,3/27/2022 23:00,49.5
3/28/2022,3/28/2022 0:00,49.3
3/28/2022,3/28/2022 1:00,49.3
3/28/2022,3/28/2022 2:00,49.2
3/28/2022,3/28/2022 3:00,49.2
3/28/2022,3/28/2022 4:00,49.2
3/28/2022,3/28/2022 5:00,49.2
3/28/2022,3/28/2022 6:00,49.2
3/28/2022,3/28/2022 7:00,49.2
3/28/2022,3/28/2022 8:00,49.3
3/28/2022,3/28/2022 9:00,49.5
3/28/2022,3/28/2022 10:00,49.8
3/28/2022,3/28/2022 11:00,50.1
3/28/2022,3/28/2022 12:00,50.4
3/28/2022,3/28/2022 13:00,50.9
3/28/2022,3/28/2022 14:00,51.8
3/28/2022,3/28/2022 15:00,52.1
3/28/2022,3/28/2022 16:00,52
3/28/2022,3/28/2022 17:00,52
3/28/2022,3/28/2022 18:00,51.3
3/28/2022,3/28/2022 19:00,50.8
3/28/2022,3/28/2022 20:00,50.4
3/28/2022,3/28/2022 21:00,49.9
3/28/2022,3/28/2022 22:00,49.4
3/28/2022,3/28/2022 23:00,49.1
3/29/2022,3/29/2022 0:00,48.9
3/29/2022,3/29/2022 1:00,48.8
3/29/2022,3/29/2022 2:00,48.7
3/29/2022,3/29/2022 3:00,48.6
3/29/2022,3/29/2022 4:00,48.4
3/29/2022,3/29/2022 5:00,48.2
3/29/2022,3/29/2022 6:00,48.1
3/29/2022,3/29/2022 7:00,48
3/29/2022,3/29/2022 8:00,48.2
3/29/2022,3/29/2022 9:00,48.9
3/29/2022,3/29/2022 10:00,49.8
3/29/2022,3/29/2022 11:00,50.9
3/29/2022,3/29/2022 12:00,52.4
3/29/2022,3/29/2022 13:00,53.7
3/29/2022,3/29/2022 14:00,54.4
3/29/2022,3/29/2022 15:00,54.6
3/29/2022,3/29/2022 16:00,54.5
3/29/2022,3/29/2022 17:00,53.9
3/29/2022,3/29/2022 18:00,53.1
3/29/2022,3/29/2022 19:00,52.1
3/29/2022,3/29/2022 20:00,51.3
3/29/2022,3/29/2022 21:00,50.5
3/29/2022,3/29/2022 22:00,49.8
3/29/2022,3/29/2022 23:00,49.4
3/30/2022,3/30/2022 0:00,49.1
3/30/2022,3/30/2022 1:00,48.9
3/30/2022,3/30/2022 2:00,48.8
3/30/2022,3/30/2022 3:00,48.6
3/30/2022,3/30/2022 4:00,48.5
3/30/2022,3/30/2022 5:00,48.4
3/30/2022,3/30/2022 6:00,48.4
3/30/2022,3/30/2022 7:00,48.5
3/30/2022,3/30/2022 8:00,48.8
3/30/2022,3/30/2022 9:00,49
3/30/2022,3/30/2022 10:00,49.8
3/30/2022,3/30/2022 11:00,50.9
3/30/2022,3/30/2022 12:00,52.1
3/30/2022,3/30/2022 13:00,52.6
3/30/2022,3/30/2022 14:00,53.6
3/30/2022,3/30/2022 15:00,53.8
3/30/2022,3/30/2022 16:00,53.7
3/30/2022,3/30/2022 17:00,53.6
3/30/2022,3/30/2022 18:00,52.7
3/30/2022,3/30/2022 19:00,51.9
3/30/2022,3/30/2022 20:00,51.2
3/30/2022,3/30/2022 21:00,50.3
3/30/2022,3/30/2022 22:00,49.7
3/30/2022,3/30/2022 23:00,49.2
3/31/2022,3/31/2022 0:00,48.9
3/31/2022,3/31/2022 1:00,48.8
3/31/2022,3/31/2022 2:00,48.6
3/31/2022,3/31/2022 3:00,48.5
3/31/2022,3/31/2022 4:00,48.4
3/31/2022,3/31/2022 5:00,48.3
3/31/2022,3/31/2022 6:00,48.2
3/31/2022,3/31/2022 7:00,48.3
3/31/2022,3/31/2022 8:00,48.5
3/31/2022,3/31/2022 9:00,49.1
3/31/2022,3/31/2022 10:00,49.9
3/31/2022,3/31/2022 11:00,50.9
3/31/2022,3/31/2022 12:00,52.1
3/31/2022,3/31/2022 13:00,53.1
3/31/2022,3/31/2022 14:00,53.8
3/31/2022,3/31/2022 15:00,54
3/31/2022,3/31/2022 16:00,53.8
3/31/2022,3/31/2022 17:00,53.3
3/31/2022,3/31/2022 18:00,52.5
3/31/2022,3/31/2022 19:00,51.5
3/31/2022,3/31/2022 20:00,50.8
3/31/2022,3/31/2022 21:00,49.9
3/31/2022,3/31/2022 22:00,49.2
3/31/2022,3/31/2022 23:00,48.7
4/1/2022,4/1/2022 0:00,48.5
4/1/2022,4/1/2022 1:00,48.3
4/1/2022,4/1/2022 2:00,48.2
4/1/2022,4/1/2022 3:00,48.2
4/1/2022,4/1/2022 4:00,48.1
4/1/2022,4/1/2022 5:00,48.1
4/1/2022,4/1/2022 6:00,48.1
4/1/2022,4/1/2022 7:00,48
4/1/2022,4/1/2022 8:00,48.3
4/1/2022,4/1/2022 9:00,49
4/1/2022,4/1/2022 10:00,49.9
4/1/2022,4/1/2022 11:00,51.1
4/1/2022,4/1/2022 12:00,52.5
4/1/2022,4/1/2022 13:00,53.7
4/1/2022,4/1/2022 14:00,54.5
4/1/2022,4/1/2022 15:00,54.7
4/1/2022,4/1/2022 16:00,54.5
4/1/2022,4/1/2022 17:00,53.9
4/1/2022,4/1/2022 18:00,53.1
4/1/2022,4/1/2022 19:00,52.3
4/1/2022,4/1/2022 20:00,51.4
4/1/2022,4/1/2022 21:00,50.6
4/1/2022,4/1/2022 22:00,50
4/1/2022,4/1/2022 23:00,49.6
4/2/2022,4/2/2022 0:00,49.2
4/2/2022,4/2/2022 1:00,49
4/2/2022,4/2/2022 2:00,48.9
4/2/2022,4/2/2022 3:00,48.7
4/2/2022,4/2/2022 4:00,48.6
4/2/2022,4/2/2022 5:00,48.5
4/2/2022,4/2/2022 6:00,48.4
4/2/2022,4/2/2022 7:00,48.4
4/2/2022,4/2/2022 8:00,48.7
4/2/2022,4/2/2022 9:00,49.3
4/2/2022,4/2/2022 10:00,50.1
4/2/2022,4/2/2022 11:00,51.2
4/2/2022,4/2/2022 12:00,52.5
4/2/2022,4/2/2022 13:00,53.7
4/2/2022,4/2/2022 14:00,54.4
4/2/2022,4/2/2022 15:00,54.5
4/2/2022,4/2/2022 16:00,54.3
4/2/2022,4/2/2022 17:00,53.7
4/2/2022,4/2/2022 18:00,52.9
4/2/2022,4/2/2022 19:00,51.9
4/2/2022,4/2/2022 20:00,51
4/2/2022,4/2/2022 21:00,50.1
4/2/2022,4/2/2022 22:00,49.4
4/2/2022,4/2/2022 23:00,48.9
4/3/2022,4/3/2022 0:00,48.6
4/3/2022,4/3/2022 1:00,48.4
4/3/2022,4/3/2022 2:00,48.3
4/3/2022,4/3/2022 3:00,48.2
4/3/2022,4/3/2022 4:00,48.1
4/3/2022,4/3/2022 5:00,48.1
4/3/2022,4/3/2022 6:00,48.1
4/3/2022,4/3/2022 7:00,48.2
4/3/2022,4/3/2022 8:00,48.5
4/3/2022,4/3/2022 9:00,48.9
4/3/2022,4/3/2022 10:00,49.4
4/3/2022,4/3/2022 11:00,49.9
4/3/2022,4/3/2022 12:00,50.6
4/3/2022,4/3/2022 13:00,51.2
4/3/2022,4/3/2022 14:00,51.9
4/3/2022,4/3/2022 15:00,52.1
4/3/2022,4/3/2022 16:00,52.2
4/3/2022,4/3/2022 17:00,52.3
4/3/2022,4/3/2022 18:00,52
4/3/2022,4/3/2022 19:00,51.7
4/3/2022,4/3/2022 20:00,51.2
4/3/2022,4/3/2022 21:00,50.4
4/3/2022,4/3/2022 22:00,49.6
4/3/2022,4/3/2022 23:00,49.2
4/4/2022,4/4/2022 0:00,49
4/4/2022,4/4/2022 1:00,49
4/4/2022,4/4/2022 2:00,49
4/4/2022,4/4/2022 3:00,49
4/4/2022,4/4/2022 4:00,49
4/4/2022,4/4/2022 5:00,49
4/4/2022,4/4/2022 6:00,49.1
4/4/2022,4/4/2022 7:00,49.2
4/4/2022,4/4/2022 8:00,49.4
4/4/2022,4/4/2022 9:00,49.6
4/4/2022,4/4/2022 10:00,50.1
4/4/2022,4/4/2022 11:00,50.2
4/4/2022,4/4/2022 12:00,50.5
4/4/2022,4/4/2022 13:00,50.9
4/4/2022,4/4/2022 14:00,51.3
4/4/2022,4/4/2022 15:00,51.4
4/4/2022,4/4/2022 16:00,51.4
4/4/2022,4/4/2022 17:00,51.4
4/4/2022,4/4/2022 18:00,51.3
4/4/2022,4/4/2022 19:00,51.5
4/4/2022,4/4/2022 20:00,51.3
4/4/2022,4/4/2022 21:00,50.7
4/4/2022,4/4/2022 22:00,49.9
4/4/2022,4/4/2022 23:00,49.3
4/5/2022,4/5/2022 0:00,48.9
4/5/2022,4/5/2022 1:00,48.6
4/5/2022,4/5/2022 2:00,48.3
4/5/2022,4/5/2022 3:00,48.1
4/5/2022,4/5/2022 4:00,48
4/5/2022,4/5/2022 5:00,47.9
4/5/2022,4/5/2022 6:00,47.8
4/5/2022,4/5/2022 7:00,47.8
4/5/2022,4/5/2022 8:00,48.1
4/5/2022,4/5/2022 9:00,48.8
4/5/2022,4/5/2022 10:00,49.7
4/5/2022,4/5/2022 11:00,50.7
4/5/2022,4/5/2022 12:00,52
4/5/2022,4/5/2022 13:00,53.3
4/5/2022,4/5/2022 14:00,54
4/5/2022,4/5/2022 15:00,54.2
4/5/2022,4/5/2022 16:00,54.1
4/5/2022,4/5/2022 17:00,53.5
4/5/2022,4/5/2022 18:00,52.7
4/5/2022,4/5/2022 19:00,51.7
4/5/2022,4/5/2022 20:00,50.9
4/5/2022,4/5/2022 21:00,50
4/5/2022,4/5/2022 22:00,49.3
4/5/2022,4/5/2022 23:00,48.9
4/6/2022,4/6/2022 0:00,48.6
4/6/2022,4/6/2022 1:00,48.4
4/6/2022,4/6/2022 2:00,48.3
4/6/2022,4/6/2022 3:00,48.2
4/6/2022,4/6/2022 4:00,48.1
4/6/2022,4/6/2022 5:00,48
4/6/2022,4/6/2022 6:00,48
4/6/2022,4/6/2022 7:00,48
4/6/2022,4/6/2022 8:00,48.3
4/6/2022,4/6/2022 9:00,49.2
4/6/2022,4/6/2022 10:00,50.1
4/6/2022,4/6/2022 11:00,51.3
4/6/2022,4/6/2022 12:00,52.8
4/6/2022,4/6/2022 13:00,54.1
4/6/2022,4/6/2022 14:00,55
4/6/2022,4/6/2022 15:00,55.2
4/6/2022,4/6/2022 16:00,55.1
4/6/2022,4/6/2022 17:00,54.6
4/6/2022,4/6/2022 18:00,53.7
4/6/2022,4/6/2022 19:00,52.7
4/6/2022,4/6/2022 20:00,51.8
4/6/2022,4/6/2022 21:00,50.9
4/6/2022,4/6/2022 22:00,50.2
4/6/2022,4/6/2022 23:00,49.7
4/7/2022,4/7/2022 0:00,49.4
4/7/2022,4/7/2022 1:00,49.2
4/7/2022,4/7/2022 2:00,49.1
4/7/2022,4/7/2022 3:00,49
4/7/2022,4/7/2022 4:00,48.9
4/7/2022,4/7/2022 5:00,48.8
4/7/2022,4/7/2022 6:00,48.7
4/7/2022,4/7/2022 7:00,48.7
4/7/2022,4/7/2022 8:00,49
4/7/2022,4/7/2022 9:00,49.8
4/7/2022,4/7/2022 10:00,50.7
4/7/2022,4/7/2022 11:00,51.9
4/7/2022,4/7/2022 12:00,53.3
4/7/2022,4/7/2022 13:00,54.6
4/7/2022,4/7/2022 14:00,55.5
4/7/2022,4/7/2022 15:00,55.7
4/7/2022,4/7/2022 16:00,55.5
4/7/2022,4/7/2022 17:00,55
4/7/2022,4/7/2022 18:00,54.1
4/7/2022,4/7/2022 19:00,53.1
4/7/2022,4/7/2022 20:00,52.2
4/7/2022,4/7/2022 21:00,51.4
4/7/2022,4/7/2022 22:00,50.6
4/7/2022,4/7/2022 23:00,50
4/8/2022,4/8/2022 0:00,49.7
4/8/2022,4/8/2022 1:00,49.5
4/8/2022,4/8/2022 2:00,49.4
4/8/2022,4/8/2022 3:00,49.2
4/8/2022,4/8/2022 4:00,49.1
4/8/2022,4/8/2022 5:00,49
4/8/2022,4/8/2022 6:00,49
4/8/2022,4/8/2022 7:00,49
4/8/2022,4/8/2022 8:00,49.4
4/8/2022,4/8/2022 9:00,50.1
4/8/2022,4/8/2022 10:00,50.9
4/8/2022,4/8/2022 11:00,52
4/8/2022,4/8/2022 12:00,53.5
4/8/2022,4/8/2022 13:00,54.8
4/8/2022,4/8/2022 14:00,55.5
4/8/2022,4/8/2022 15:00,55.5
4/8/2022,4/8/2022 16:00,55.4
4/8/2022,4/8/2022 17:00,54.9
4/8/2022,4/8/2022 18:00,54.1
4/8/2022,4/8/2022 19:00,53.2
4/8/2022,4/8/2022 20:00,52.3
4/8/2022,4/8/2022 21:00,51.4
4/8/2022,4/8/2022 22:00,50.6
4/8/2022,4/8/2022 23:00,50
