site,release_id,date_recaptured,number_recaptured,median_fork_length_recaptured
Upper Battle Creek,BAT279,2011-02-24,0,NA
Upper Battle Creek,BAT280,2011-02-27,27,37
Upper Battle Creek,BAT280,2011-02-28,0,NA
Upper Battle Creek,BAT280,2011-03-01,0,NA
Upper Battle Creek,BAT280,2011-03-02,0,NA
Upper Battle Creek,BAT280,2011-03-03,0,NA
Upper Battle Creek,BAT281,2011-02-27,43,36
Upper Battle Creek,BAT281,2011-02-28,2,36
Upper Battle Creek,BAT281,2011-03-01,0,NA
Upper Battle Creek,BAT281,2011-03-02,0,NA
Upper Battle Creek,BAT281,2011-03-03,0,NA
Upper Battle Creek,BAT282,2011-03-06,17,42
Upper Battle Creek,BAT282,2011-03-07,0,NA
Upper Battle Creek,BAT282,2011-03-08,0,NA
Upper Battle Creek,BAT282,2011-03-09,0,NA
Upper Battle Creek,BAT282,2011-03-10,0,NA
Upper Battle Creek,BAT283,2011-03-06,34,35
Upper Battle Creek,BAT283,2011-03-07,1,35
Upper Battle Creek,BAT283,2011-03-08,0,NA
Upper Battle Creek,BAT283,2011-03-09,0,NA
Upper Battle Creek,BAT283,2011-03-10,0,NA
Upper Battle Creek,BAT284,2012-01-14,18,36
Upper Battle Creek,BAT284,2012-01-15,3,36
Upper Battle Creek,BAT284,2012-01-16,1,36
Upper Battle Creek,BAT284,2012-01-17,0,NA
Upper Battle Creek,BAT284,2012-01-18,0,NA
Upper Battle Creek,BAT285,2012-01-14,13,35
Upper Battle Creek,BAT285,2012-01-15,1,35
Upper Battle Creek,BAT285,2012-01-16,0,NA
Upper Battle Creek,BAT285,2012-01-17,0,NA
Upper Battle Creek,BAT285,2012-01-18,0,NA
Upper Battle Creek,BAT286,2012-01-14,23,36
Upper Battle Creek,BAT286,2012-01-15,2,36
Upper Battle Creek,BAT286,2012-01-16,0,NA
Upper Battle Creek,BAT286,2012-01-17,0,NA
Upper Battle Creek,BAT286,2012-01-18,0,NA
Upper Battle Creek,BAT287,2012-01-21,22,36
Upper Battle Creek,BAT287,2012-01-22,0,NA
Upper Battle Creek,BAT287,2012-01-23,0,NA
Upper Battle Creek,BAT287,2012-01-24,0,NA
Upper Battle Creek,BAT287,2012-01-25,0,NA
Upper Battle Creek,BAT288,2012-01-21,15,37
Upper Battle Creek,BAT288,2012-01-22,0,NA
Upper Battle Creek,BAT288,2012-01-23,0,NA
Upper Battle Creek,BAT288,2012-01-24,0,NA
Upper Battle Creek,BAT288,2012-01-25,0,NA
Upper Battle Creek,BAT289,2012-01-26,17,36
Upper Battle Creek,BAT289,2012-01-27,0,NA
Upper Battle Creek,BAT289,2012-01-28,0,NA
Upper Battle Creek,BAT289,2012-01-29,0,NA
Upper Battle Creek,BAT289,2012-01-30,0,NA
Upper Battle Creek,BAT290,2012-01-26,17,36
Upper Battle Creek,BAT290,2012-01-27,0,NA
Upper Battle Creek,BAT290,2012-01-28,0,NA
Upper Battle Creek,BAT290,2012-01-29,0,NA
Upper Battle Creek,BAT290,2012-01-30,0,NA
Upper Battle Creek,BAT291,2012-01-26,20,37
Upper Battle Creek,BAT291,2012-01-27,3,37
Upper Battle Creek,BAT291,2012-01-28,0,NA
Upper Battle Creek,BAT291,2012-01-29,0,NA
Upper Battle Creek,BAT291,2012-01-30,0,NA
Upper Battle Creek,BAT292,2012-01-29,23,37
Upper Battle Creek,BAT292,2012-01-30,2,37
Upper Battle Creek,BAT292,2012-01-31,0,NA
Upper Battle Creek,BAT292,2012-02-01,0,NA
Upper Battle Creek,BAT292,2012-02-02,0,NA
Upper Battle Creek,BAT293,2012-01-29,23,37
Upper Battle Creek,BAT293,2012-01-30,2,37
Upper Battle Creek,BAT293,2012-01-31,0,NA
Upper Battle Creek,BAT293,2012-02-01,0,NA
Upper Battle Creek,BAT293,2012-02-02,0,NA
Upper Battle Creek,BAT294,2012-02-02,45,36
Upper Battle Creek,BAT294,2012-02-03,1,36
Upper Battle Creek,BAT294,2012-02-04,0,NA
Upper Battle Creek,BAT294,2012-02-05,0,NA
Upper Battle Creek,BAT294,2012-02-06,0,NA
Upper Battle Creek,BAT295,2012-02-02,50,36
Upper Battle Creek,BAT295,2012-02-03,2,36
Upper Battle Creek,BAT295,2012-02-04,0,NA
Upper Battle Creek,BAT295,2012-02-05,0,NA
Upper Battle Creek,BAT295,2012-02-06,0,NA
Upper Battle Creek,BAT296,2012-02-05,37,36
Upper Battle Creek,BAT296,2012-02-06,0,NA
Upper Battle Creek,BAT296,2012-02-07,0,NA
Upper Battle Creek,BAT296,2012-02-08,0,NA
Upper Battle Creek,BAT296,2012-02-09,0,NA
Upper Battle Creek,BAT297,2012-02-05,37,36
Upper Battle Creek,BAT297,2012-02-06,0,NA
Upper Battle Creek,BAT297,2012-02-07,1,36
Upper Battle Creek,BAT297,2012-02-08,0,NA
Upper Battle Creek,BAT297,2012-02-09,0,NA
Upper Battle Creek,BAT298,2012-02-10,25,37
Upper Battle Creek,BAT298,2012-02-11,1,37
Upper Battle Creek,BAT298,2012-02-12,0,NA
Upper Battle Creek,BAT298,2012-02-13,0,NA
Upper Battle Creek,BAT298,2012-02-14,0,NA
Upper Battle Creek,BAT299,2012-02-10,32,37
Upper Battle Creek,BAT299,2012-02-11,3,37
Upper Battle Creek,BAT299,2012-02-12,0,NA
Upper Battle Creek,BAT299,2012-02-13,2,37
Upper Battle Creek,BAT299,2012-02-14,0,NA
Upper Battle Creek,BAT300,2012-02-16,27,36
Upper Battle Creek,BAT300,2012-02-17,0,NA
Upper Battle Creek,BAT300,2012-02-18,0,NA
Upper Battle Creek,BAT300,2012-02-19,0,NA
Upper Battle Creek,BAT300,2012-02-20,0,NA
Upper Battle Creek,BAT301,2012-02-16,24,36
Upper Battle Creek,BAT301,2012-02-17,5,36
Upper Battle Creek,BAT301,2012-02-18,0,NA
Upper Battle Creek,BAT301,2012-02-19,0,NA
Upper Battle Creek,BAT301,2012-02-20,0,NA
Upper Battle Creek,BAT302,2012-02-23,28,35
Upper Battle Creek,BAT302,2012-02-24,5,35
Upper Battle Creek,BAT302,2012-02-25,1,35
Upper Battle Creek,BAT302,2012-02-26,0,NA
Upper Battle Creek,BAT302,2012-02-27,0,NA
Upper Battle Creek,BAT303,2012-02-23,26,36
Upper Battle Creek,BAT303,2012-02-24,10,36
Upper Battle Creek,BAT303,2012-02-25,4,36
Upper Battle Creek,BAT303,2012-02-26,0,NA
Upper Battle Creek,BAT303,2012-02-27,1,36
Upper Battle Creek,BAT304,2012-03-01,18,36
Upper Battle Creek,BAT304,2012-03-02,3,36
Upper Battle Creek,BAT304,2012-03-03,0,NA
Upper Battle Creek,BAT304,2012-03-04,0,NA
Upper Battle Creek,BAT304,2012-03-05,1,36
Upper Battle Creek,BAT305,2012-03-01,22,36
Upper Battle Creek,BAT305,2012-03-02,2,36
Upper Battle Creek,BAT305,2012-03-03,0,NA
Upper Battle Creek,BAT305,2012-03-04,0,NA
Upper Battle Creek,BAT305,2012-03-05,0,NA
Upper Battle Creek,BAT306,2012-03-08,30,35
Upper Battle Creek,BAT306,2012-03-09,1,35
Upper Battle Creek,BAT306,2012-03-10,0,NA
Upper Battle Creek,BAT306,2012-03-11,1,35
Upper Battle Creek,BAT306,2012-03-12,0,NA
Upper Battle Creek,BAT307,2012-03-08,22,35
Upper Battle Creek,BAT307,2012-03-09,1,35
Upper Battle Creek,BAT307,2012-03-10,0,NA
Upper Battle Creek,BAT307,2012-03-11,0,NA
Upper Battle Creek,BAT307,2012-03-12,0,NA
Upper Battle Creek,BAT308,2012-03-22,13,38
Upper Battle Creek,BAT308,2012-03-23,0,NA
Upper Battle Creek,BAT308,2012-03-24,0,NA
Upper Battle Creek,BAT308,2012-03-25,0,NA
Upper Battle Creek,BAT308,2012-03-26,1,38
Upper Battle Creek,BAT309,2012-03-22,9,40
Upper Battle Creek,BAT309,2012-03-23,0,NA
Upper Battle Creek,BAT309,2012-03-24,0,NA
Upper Battle Creek,BAT309,2012-03-25,0,NA
Upper Battle Creek,BAT309,2012-03-26,0,NA
Upper Battle Creek,BAT310,2013-01-24,17,36
Upper Battle Creek,BAT310,2013-01-25,0,NA
Upper Battle Creek,BAT310,2013-01-26,0,NA
Upper Battle Creek,BAT310,2013-01-27,0,NA
Upper Battle Creek,BAT310,2013-01-28,0,NA
Upper Battle Creek,BAT311,2013-01-24,14,35
Upper Battle Creek,BAT311,2013-01-25,0,NA
Upper Battle Creek,BAT311,2013-01-26,0,NA
Upper Battle Creek,BAT311,2013-01-27,0,NA
Upper Battle Creek,BAT311,2013-01-28,0,NA
Upper Battle Creek,BAT312,2013-01-31,13,36
Upper Battle Creek,BAT312,2013-02-01,0,NA
Upper Battle Creek,BAT312,2013-02-02,0,NA
Upper Battle Creek,BAT312,2013-02-03,0,NA
Upper Battle Creek,BAT312,2013-02-04,0,NA
Upper Battle Creek,BAT313,2013-01-31,16,35
Upper Battle Creek,BAT313,2013-02-01,0,NA
Upper Battle Creek,BAT313,2013-02-02,0,NA
Upper Battle Creek,BAT313,2013-02-03,0,NA
Upper Battle Creek,BAT313,2013-02-04,0,NA
Upper Battle Creek,BAT314,2013-02-07,18,36
Upper Battle Creek,BAT314,2013-02-08,2,36
Upper Battle Creek,BAT314,2013-02-09,0,NA
Upper Battle Creek,BAT314,2013-02-10,0,NA
Upper Battle Creek,BAT314,2013-02-11,0,NA
Upper Battle Creek,BAT315,2013-02-07,8,37
Upper Battle Creek,BAT315,2013-02-08,1,37
Upper Battle Creek,BAT315,2013-02-09,1,37
Upper Battle Creek,BAT315,2013-02-10,0,NA
Upper Battle Creek,BAT315,2013-02-11,0,NA
Upper Battle Creek,BAT316,2013-02-15,8,37
Upper Battle Creek,BAT316,2013-02-16,0,NA
Upper Battle Creek,BAT316,2013-02-17,0,NA
Upper Battle Creek,BAT316,2013-02-18,0,NA
Upper Battle Creek,BAT316,2013-02-19,0,NA
Upper Battle Creek,BAT317,2013-02-15,9,36
Upper Battle Creek,BAT317,2013-02-16,1,36
Upper Battle Creek,BAT317,2013-02-17,0,NA
Upper Battle Creek,BAT317,2013-02-18,0,NA
Upper Battle Creek,BAT317,2013-02-19,0,NA
Upper Battle Creek,BAT318,2013-02-22,11,36
Upper Battle Creek,BAT318,2013-02-23,4,36
Upper Battle Creek,BAT318,2013-02-24,1,36
Upper Battle Creek,BAT318,2013-02-25,0,NA
Upper Battle Creek,BAT318,2013-02-26,0,NA
Upper Battle Creek,BAT319,2013-02-22,17,36
Upper Battle Creek,BAT319,2013-02-23,4,36
Upper Battle Creek,BAT319,2013-02-24,1,36
Upper Battle Creek,BAT319,2013-02-25,0,NA
Upper Battle Creek,BAT319,2013-02-26,0,NA
Upper Battle Creek,BAT320,2013-03-01,8,36
Upper Battle Creek,BAT320,2013-03-02,6,36
Upper Battle Creek,BAT320,2013-03-03,0,NA
Upper Battle Creek,BAT320,2013-03-04,0,NA
Upper Battle Creek,BAT320,2013-03-05,0,NA
Upper Battle Creek,BAT321,2013-03-01,11,37
Upper Battle Creek,BAT321,2013-03-02,0,NA
Upper Battle Creek,BAT321,2013-03-03,0,NA
Upper Battle Creek,BAT321,2013-03-04,0,NA
Upper Battle Creek,BAT321,2013-03-05,0,NA
Upper Battle Creek,BAT322,2014-02-05,52,37
Upper Battle Creek,BAT322,2014-02-06,0,NA
Upper Battle Creek,BAT322,2014-02-07,0,NA
Upper Battle Creek,BAT322,2014-02-08,0,NA
Upper Battle Creek,BAT322,2014-02-09,0,NA
Upper Battle Creek,BAT323,2014-02-05,56,37
Upper Battle Creek,BAT323,2014-02-06,0,NA
Upper Battle Creek,BAT323,2014-02-07,0,NA
Upper Battle Creek,BAT323,2014-02-08,0,NA
Upper Battle Creek,BAT323,2014-02-09,0,NA
Upper Battle Creek,BAT324,2014-02-21,16,36
Upper Battle Creek,BAT324,2014-02-22,0,NA
Upper Battle Creek,BAT324,2014-02-23,0,NA
Upper Battle Creek,BAT324,2014-02-24,0,NA
Upper Battle Creek,BAT324,2014-02-25,0,NA
Upper Battle Creek,BAT325,2014-02-21,24,36
Upper Battle Creek,BAT325,2014-02-22,1,36
Upper Battle Creek,BAT325,2014-02-23,0,NA
Upper Battle Creek,BAT325,2014-02-24,0,NA
Upper Battle Creek,BAT325,2014-02-25,0,NA
Upper Battle Creek,BAT326,2015-12-16,4,33
Upper Battle Creek,BAT326,2015-12-17,0,NA
Upper Battle Creek,BAT326,2015-12-18,0,NA
Upper Battle Creek,BAT326,2015-12-19,0,NA
Upper Battle Creek,BAT326,2015-12-20,0,NA
Upper Battle Creek,BAT327,2016-01-16,6,36
Upper Battle Creek,BAT327,2016-01-17,1,36
Upper Battle Creek,BAT327,2016-01-18,0,NA
Upper Battle Creek,BAT327,2016-01-19,0,NA
Upper Battle Creek,BAT327,2016-01-20,0,NA
Upper Battle Creek,BAT328,2016-03-16,24,45
Upper Battle Creek,BAT328,2016-03-17,0,NA
Upper Battle Creek,BAT328,2016-03-18,0,NA
Upper Battle Creek,BAT328,2016-03-19,0,NA
Upper Battle Creek,BAT328,2016-03-20,0,NA
Upper Battle Creek,BAT329,2016-12-28,14,37
Upper Battle Creek,BAT329,2016-12-29,0,NA
Upper Battle Creek,BAT329,2016-12-30,0,NA
Upper Battle Creek,BAT329,2016-12-31,0,NA
Upper Battle Creek,BAT329,2017-01-01,0,NA
Upper Battle Creek,BAT330,2017-01-01,17,37
Upper Battle Creek,BAT330,2017-01-02,0,NA
Upper Battle Creek,BAT330,2017-01-03,0,NA
Upper Battle Creek,BAT330,2017-01-04,0,NA
Upper Battle Creek,BAT330,2017-01-05,0,NA
Upper Battle Creek,BAT331,2017-01-28,32,39
Upper Battle Creek,BAT331,2017-01-29,1,39
Upper Battle Creek,BAT331,2017-01-30,0,NA
Upper Battle Creek,BAT331,2017-01-31,0,NA
Upper Battle Creek,BAT331,2017-02-01,0,NA
Upper Battle Creek,BAT332,2017-02-01,17,40
Upper Battle Creek,BAT332,2017-02-02,4,40
Upper Battle Creek,BAT332,2017-02-03,0,NA
Upper Battle Creek,BAT332,2017-02-04,0,NA
Upper Battle Creek,BAT332,2017-02-05,0,NA
Upper Battle Creek,BAT333,2018-01-17,11,37
Upper Battle Creek,BAT333,2018-01-18,0,NA
Upper Battle Creek,BAT333,2018-01-19,0,NA
Upper Battle Creek,BAT333,2018-01-20,0,NA
Upper Battle Creek,BAT333,2018-01-21,0,NA
Upper Battle Creek,BAT334,2018-02-02,23,37
Upper Battle Creek,BAT334,2018-02-03,2,37
Upper Battle Creek,BAT334,2018-02-04,0,NA
Upper Battle Creek,BAT334,2018-02-05,0,NA
Upper Battle Creek,BAT334,2018-02-06,0,NA
Upper Battle Creek,BAT335,2018-02-15,1180,33
Upper Battle Creek,BAT335,2018-02-16,0,NA
Upper Battle Creek,BAT335,2018-02-17,0,NA
Upper Battle Creek,BAT335,2018-02-18,0,NA
Upper Battle Creek,BAT335,2018-02-19,0,NA
Upper Battle Creek,BAT336,2018-03-15,15,78
Upper Battle Creek,BAT336,2018-03-16,3,78
Upper Battle Creek,BAT336,2018-03-17,0,NA
Upper Battle Creek,BAT336,2018-03-18,0,NA
Upper Battle Creek,BAT336,2018-03-19,0,NA
Upper Battle Creek,BAT337,2018-04-06,17,79
Upper Battle Creek,BAT337,2018-04-07,4,79
Upper Battle Creek,BAT337,2018-04-08,0,NA
Upper Battle Creek,BAT337,2018-04-09,0,NA
Upper Battle Creek,BAT337,2018-04-10,0,NA
Upper Battle Creek,BAT338,2019-01-03,25,35
Upper Battle Creek,BAT338,2019-01-04,0,NA
Upper Battle Creek,BAT338,2019-01-05,0,NA
Upper Battle Creek,BAT338,2019-01-06,0,NA
Upper Battle Creek,BAT338,2019-01-07,0,NA
Upper Battle Creek,BAT339,2019-02-06,20,41
Upper Battle Creek,BAT339,2019-02-07,2,41
Upper Battle Creek,BAT339,2019-02-08,0,NA
Upper Battle Creek,BAT339,2019-02-09,0,NA
Upper Battle Creek,BAT339,2019-02-10,0,NA
Upper Battle Creek,BAT340,2019-03-27,1,NA
Upper Battle Creek,BAT340,2019-03-28,0,NA
Upper Battle Creek,BAT340,2019-03-29,0,NA
Upper Battle Creek,BAT340,2019-03-30,0,NA
Upper Battle Creek,BAT340,2019-03-31,0,NA
Upper Battle Creek,BAT341,2020-01-29,1,38
Upper Battle Creek,BAT341,2020-01-30,0,NA
Upper Battle Creek,BAT341,2020-01-31,0,NA
Upper Battle Creek,BAT341,2020-02-01,0,NA
Upper Battle Creek,BAT341,2020-02-02,0,NA
Upper Battle Creek,BAT342,2020-02-08,41,36
Upper Battle Creek,BAT342,2020-02-09,0,NA
Upper Battle Creek,BAT342,2020-02-10,1,36
Upper Battle Creek,BAT342,2020-02-11,1,36
Upper Battle Creek,BAT342,2020-02-12,0,NA
Upper Battle Creek,BAT343,2020-02-20,15,40
Upper Battle Creek,BAT343,2020-02-21,1,40
Upper Battle Creek,BAT343,2020-02-22,0,NA
Upper Battle Creek,BAT343,2020-02-23,0,NA
Upper Battle Creek,BAT343,2020-02-24,0,NA
Upper Battle Creek,BAT344,2020-11-07,41,41
Upper Battle Creek,BAT344,2020-11-08,6,41
Upper Battle Creek,BAT344,2020-11-09,0,NA
Upper Battle Creek,BAT344,2020-11-10,0,NA
Upper Battle Creek,BAT344,2020-11-11,0,NA
Upper Battle Creek,BAT345,2020-11-14,41,42
Upper Battle Creek,BAT345,2020-11-15,1,42
Upper Battle Creek,BAT345,2020-11-16,0,NA
Upper Battle Creek,BAT345,2020-11-17,0,NA
Upper Battle Creek,BAT345,2020-11-18,0,NA
Upper Battle Creek,BAT346,2020-12-20,10,49
Upper Battle Creek,BAT346,2020-12-21,0,NA
Upper Battle Creek,BAT346,2020-12-22,0,NA
Upper Battle Creek,BAT346,2020-12-23,0,NA
Upper Battle Creek,BAT346,2020-12-24,0,NA
Upper Battle Creek,BAT347,2021-02-03,3,39
Upper Battle Creek,BAT347,2021-02-04,0,NA
Upper Battle Creek,BAT347,2021-02-05,0,NA
Upper Battle Creek,BAT347,2021-02-06,0,NA
Upper Battle Creek,BAT347,2021-02-07,0,NA
Upper Battle Creek,BAT348,2021-02-10,10,41
Upper Battle Creek,BAT348,2021-02-11,1,41
Upper Battle Creek,BAT348,2021-02-12,0,NA
Upper Battle Creek,BAT348,2021-02-13,0,NA
Upper Battle Creek,BAT348,2021-02-14,0,NA
Upper Battle Creek,BAT349,2021-03-03,11,55
Upper Battle Creek,BAT349,2021-03-04,0,NA
Upper Battle Creek,BAT349,2021-03-05,3,55
Upper Battle Creek,BAT349,2021-03-06,0,NA
Upper Battle Creek,BAT349,2021-03-07,0,NA
Upper Battle Creek,BAT350,2021-03-09,0,NA
Upper Battle Creek,BAT350,2021-03-10,0,NA
Upper Battle Creek,BAT350,2021-03-11,0,NA
Upper Battle Creek,BAT350,2021-03-12,0,NA
Upper Battle Creek,BAT350,2021-03-13,0,NA
Upper Battle Creek,BAT351,2021-04-13,11,55
Upper Battle Creek,BAT351,2021-04-14,2,55
Upper Battle Creek,BAT351,2021-04-15,0,NA
Upper Battle Creek,BAT351,2021-04-16,0,NA
Upper Battle Creek,BAT351,2021-04-17,0,NA
Upper Battle Creek,BAT352,2021-12-29,7,37
Upper Battle Creek,BAT352,2021-12-30,2,37
Upper Battle Creek,BAT352,2021-12-31,1,37
Upper Battle Creek,BAT352,2022-01-01,2,37
Upper Battle Creek,BAT352,2022-01-02,0,NA
Upper Battle Creek,BAT353,2022-01-16,11,40
Upper Battle Creek,BAT353,2022-01-17,4,40
Upper Battle Creek,BAT353,2022-01-18,0,NA
Upper Battle Creek,BAT353,2022-01-19,0,NA
Upper Battle Creek,BAT353,2022-01-20,1,40
Upper Battle Creek,BAT354,2022-01-24,8,42
Upper Battle Creek,BAT354,2022-01-25,0,NA
Upper Battle Creek,BAT354,2022-01-26,0,NA
Upper Battle Creek,BAT354,2022-01-27,2,42
Upper Battle Creek,BAT354,2022-01-28,0,NA
Upper Battle Creek,BAT355,2022-02-05,4,44
Upper Battle Creek,BAT355,2022-02-06,5,44
Upper Battle Creek,BAT355,2022-02-07,1,44
Upper Battle Creek,BAT355,2022-02-08,1,44
Upper Battle Creek,BAT355,2022-02-09,0,NA
Upper Battle Creek,BAT356,2022-02-11,8,40
Upper Battle Creek,BAT356,2022-02-12,2,40
Upper Battle Creek,BAT356,2022-02-13,3,40
Upper Battle Creek,BAT356,2022-02-14,1,40
Upper Battle Creek,BAT356,2022-02-15,0,NA
Upper Battle Creek,BAT357,2022-04-12,35,65
Upper Battle Creek,BAT357,2022-04-13,10,65
Upper Battle Creek,BAT357,2022-04-14,0,NA
Upper Battle Creek,BAT357,2022-04-15,0,NA
Upper Battle Creek,BAT357,2022-04-16,0,NA
Upper Battle Creek,BAT358,2022-04-24,26,77
Upper Battle Creek,BAT358,2022-04-25,10,77
Upper Battle Creek,BAT358,2022-04-26,0,NA
Upper Battle Creek,BAT358,2022-04-27,0,NA
Upper Battle Creek,BAT358,2022-04-28,0,NA
Upper Battle Creek,BAT359,2022-10-25,4,32
Upper Battle Creek,BAT359,2022-10-26,1,32
Upper Battle Creek,BAT359,2022-10-27,0,NA
Upper Battle Creek,BAT359,2022-10-28,0,NA
Upper Battle Creek,BAT359,2022-10-29,0,NA
Upper Battle Creek,BAT360,2022-11-09,7,31
Upper Battle Creek,BAT360,2022-11-10,0,NA
Upper Battle Creek,BAT360,2022-11-11,0,NA
Upper Battle Creek,BAT360,2022-11-12,0,NA
Upper Battle Creek,BAT360,2022-11-13,0,NA
Upper Battle Creek,BAT361,2022-11-16,13,35
Upper Battle Creek,BAT361,2022-11-17,0,NA
Upper Battle Creek,BAT361,2022-11-18,0,NA
Upper Battle Creek,BAT361,2022-11-19,0,NA
Upper Battle Creek,BAT361,2022-11-20,0,NA
Upper Battle Creek,BAT362,2023-02-08,38,43
Upper Battle Creek,BAT362,2023-02-09,2,43
Upper Battle Creek,BAT362,2023-02-10,0,NA
Upper Battle Creek,BAT362,2023-02-11,0,NA
Upper Battle Creek,BAT362,2023-02-12,0,NA
Upper Battle Creek,BAT363,2023-03-03,18,43
Upper Battle Creek,BAT363,2023-03-04,0,NA
Upper Battle Creek,BAT363,2023-03-05,0,NA
Upper Battle Creek,BAT363,2023-03-06,0,NA
Upper Battle Creek,BAT363,2023-03-07,0,NA
Upper Battle Creek,BAT364,2023-03-07,10,58
Upper Battle Creek,BAT364,2023-03-08,6,58
Upper Battle Creek,BAT364,2023-03-09,2,58
Upper Battle Creek,BAT364,2023-03-10,0,NA
Upper Battle Creek,BAT364,2023-03-11,0,NA
Upper Battle Creek,BAT365,2023-04-15,28,64
Upper Battle Creek,BAT365,2023-04-16,2,64
Upper Battle Creek,BAT365,2023-04-17,0,NA
Upper Battle Creek,BAT365,2023-04-18,0,NA
Upper Battle Creek,BAT365,2023-04-19,0,NA
Upper Battle Creek,BAT366,2023-10-05,8,35
Upper Battle Creek,BAT366,2023-10-06,1,35
Upper Battle Creek,BAT366,2023-10-07,0,NA
Upper Battle Creek,BAT366,2023-10-08,0,NA
Upper Battle Creek,BAT366,2023-10-09,0,NA
Upper Battle Creek,BAT367,2023-10-14,26,41
Upper Battle Creek,BAT367,2023-10-15,0,NA
Upper Battle Creek,BAT367,2023-10-16,0,NA
Upper Battle Creek,BAT367,2023-10-17,0,NA
Upper Battle Creek,BAT367,2023-10-18,0,NA
Upper Battle Creek,BAT368,2023-10-27,7,50
Upper Battle Creek,BAT368,2023-10-28,1,50
Upper Battle Creek,BAT368,2023-10-29,0,NA
Upper Battle Creek,BAT368,2023-10-30,0,NA
Upper Battle Creek,BAT368,2023-10-31,0,NA
Upper Battle Creek,BAT369,2024-03-16,20,53
Upper Battle Creek,BAT369,2024-03-17,3,53
Upper Battle Creek,BAT369,2024-03-18,0,NA
Upper Battle Creek,BAT369,2024-03-19,0,NA
Upper Battle Creek,BAT369,2024-03-20,0,NA
Upper Battle Creek,BAT370,2024-03-27,14,55
Upper Battle Creek,BAT370,2024-03-28,2,55
Upper Battle Creek,BAT370,2024-03-29,1,55
Upper Battle Creek,BAT370,2024-03-30,0,NA
Upper Battle Creek,BAT370,2024-03-31,0,NA
Upper Battle Creek,BAT371,2024-04-03,13,65
Upper Battle Creek,BAT371,2024-04-04,0,NA
Upper Battle Creek,BAT371,2024-04-05,0,NA
Upper Battle Creek,BAT371,2024-04-06,0,NA
Upper Battle Creek,BAT371,2024-04-07,1,65
